Station :0,000
Number of segments :1
   Segment 1
       7,126   19,343
       7,070   19,356

   Segment 2
       7,569   19,356
       7,513   19,343
       7,465   19,308
       7,431   19,259
       7,418   19,203
       7,431   19,147
       7,464   19,099
       7,513   19,065
       7,568   19,052
       7,624   19,065
       7,673   19,099
       7,708   19,147
       7,721   19,203
       7,708   19,259
       7,674   19,308
       7,625   19,343
       7,569   19,356

   Segment 3
       9,831   19,356
       9,775   19,343
       9,727   19,308
       9,693   19,259
       9,680   19,203
       9,693   19,147
       9,726   19,099
       9,775   19,065
       9,830   19,053
       9,886   19,066
       9,935   19,100
       9,970   19,148
       9,983   19,204
       9,970   19,259
       9,936   19,308
       9,887   19,343
       9,831   19,356

   Segment 4
       9,333   19,356
       9,277   19,343
       9,229   19,308
       9,195   19,259
       9,182   19,203
       9,195   19,147
       9,228   19,099
       9,277   19,065
       9,332   19,053
       9,388   19,066
       9,437   19,100
       9,472   19,148
       9,485   19,204
       9,472   19,259
       9,438   19,308
       9,389   19,343
       9,333   19,356

   Segment 5
       0,000    0,000
       0,857    0,000 (knuckle)
       2,197    0,447
       2,874    0,680
       3,666    0,977
       4,651    1,375
       5,707    1,824
       6,689    2,266
       7,142    2,483
       7,569    2,700
       7,970    2,919
       8,346    3,140
       8,699    3,361
       9,029    3,583
       9,337    3,805
       9,623    4,027
       9,887    4,248
      10,128    4,467
      10,346    4,683
      10,543    4,898
      10,721    5,112
      10,882    5,326
      11,029    5,540
      11,283    5,970
      11,495    6,404
      11,674    6,844
      11,828    7,290
      11,960    7,738
      12,071    8,180
      12,159    8,612
      12,224    9,044
      12,249    9,275
      12,288    9,824
      12,320   10,523
      12,341   11,217
      12,377   14,564
      12,390   15,101 (knuckle)
      12,390   17,601 (knuckle)
       2,890   17,601 (knuckle)
       2,890   20,101 (knuckle)
       1,399   20,101
       1,424   20,101
       1,364   20,101 (knuckle)
       1,364   22,601 (knuckle)
       0,000   22,601
-------------------------------

Station :60,000
Number of segments :2
   Segment 1
       4,847   22,601
       5,880   22,601 (knuckle)
       5,880   22,701 (knuckle)
       0,000   22,701 (knuckle)
       0,000   22,601 (knuckle)
       4,847   22,601

   Segment 2
       0,000    0,000
       1,509    0,000 (knuckle)
       2,830    0,233
       4,046    0,465
       4,588    0,582
       5,101    0,706
       5,605    0,845
       6,124    1,006
       6,672    1,195
       7,235    1,405
       7,793    1,627
       8,325    1,853
       8,812    2,076
       9,255    2,296
       9,655    2,513
      10,015    2,729
      10,339    2,947
      10,632    3,164
      10,899    3,383
      11,377    3,822
      11,593    4,042
      11,792    4,262
      11,972    4,482
      12,135    4,701
      12,280    4,919
      12,409    5,136
      12,627    5,567
      12,802    5,996
      12,945    6,427
      13,065    6,862
      13,161    7,304
      13,238    7,751
      13,297    8,193
      13,343    8,628
      13,376    9,061
      13,399    9,546
      13,411   10,535
      13,406   12,435
      13,414   14,581
      13,421   15,101 (knuckle)
      13,421   17,601 (knuckle)
       5,859   17,601
       5,880   17,601 (knuckle)
       5,880   20,101 (knuckle)
       5,880   22,601 (knuckle)
       0,000   22,601
-------------------------------

Station :70,000
Number of segments :5
   Segment 1
       8,514   17,801
       8,514   18,301
       8,513   18,799
       8,511   19,290
       8,508   19,775 (knuckle)
       9,269   19,774
       9,554   19,775
       9,714   19,774
      10,372   19,778
      10,519   19,776
      10,644   19,778
      11,284   19,774
      11,447   19,775
      11,737   19,774
      12,509   19,775 (knuckle)
      12,506   19,290
      12,504   18,799
      12,503   18,301
      12,503   17,801

   Segment 2
       4,441   22,701
       4,441   22,901 (knuckle)
       5,776   22,901 (knuckle)
       5,776   22,701

   Segment 3
       8,127   17,601
       8,127   17,801 (knuckle)
      12,912   17,801 (knuckle)
      12,912   17,601

   Segment 4
       7,208   22,676
       7,208   22,701 (knuckle)
       0,000   22,701 (knuckle)
       0,000   22,601 (knuckle)
       7,208   22,601 (knuckle)
       7,208   22,676

   Segment 5
       0,000    0,000
       2,924    0,000 (knuckle)
       4,607    0,247
       5,392    0,369
       6,108    0,489
       6,743    0,608
       7,316    0,733
       7,856    0,872
       8,392    1,032
       8,944    1,220
       9,499    1,428
      10,034    1,649
      10,528    1,875
      10,962    2,098
      11,339    2,319
      11,665    2,537
      11,948    2,754
      12,195    2,972
      12,411    3,190
      12,605    3,407
      12,952    3,843
      13,257    4,280
      13,389    4,498
      13,608    4,935
      13,776    5,369
      13,903    5,800
      14,001    6,228
      14,078    6,658
      14,139    7,093
      14,184    7,537
      14,216    7,981
      14,260    9,067
      14,277    9,842
      14,275   10,535
      14,259   12,218
      14,254   15,101 (knuckle)
      14,254   17,601 (knuckle)
       5,880   17,601 (knuckle)
       5,880   20,101 (knuckle)
       5,880   22,601 (knuckle)
       0,000   22,601
-------------------------------

Station :80,000
Number of segments :7
   Segment 1
      13,359   17,801
      13,359   18,309
      13,360   18,816
      13,365   19,289
      13,370   19,656 (knuckle)
      12,842   19,656
      12,171   19,656
      12,021   19,654
      11,468   19,655
      10,713   19,654
      10,563   19,656
       9,892   19,656
       9,366   19,656 (knuckle)
       9,371   19,289
       9,376   18,816
       9,377   18,308
       9,377   17,801

   Segment 2
      11,232   19,266
      11,248   19,254
      11,267   19,250
      11,285   19,254
      11,301   19,266
      11,313   19,282
      11,317   19,301
      11,313   19,320
      11,302   19,336
      11,285   19,347
      11,267   19,351
      11,248   19,347
      11,232   19,335
      11,220   19,319
      11,216   19,301
      11,220   19,282
      11,232   19,266

   Segment 3
      11,432   19,266
      11,448   19,254
      11,467   19,250
      11,485   19,254
      11,501   19,266
      11,513   19,282
      11,517   19,301
      11,513   19,320
      11,502   19,336
      11,485   19,347
      11,467   19,351
      11,448   19,347
      11,432   19,335
      11,420   19,319
      11,416   19,301
      11,420   19,282
      11,432   19,266

   Segment 4
       0,000    0,000
       5,023    0,000 (knuckle)
       6,663    0,243
       8,134    0,487
       8,762    0,612
       9,326    0,743
       9,848    0,889
      10,349    1,054
      10,843    1,244
      11,324    1,452
      11,775    1,672
      12,184    1,896
      12,539    2,117
      12,844    2,335
      13,105    2,552
      13,329    2,769
      13,523    2,987
      13,841    3,425
      14,101    3,864
      14,319    4,301
      14,486    4,734
      14,606    5,164
      14,695    5,592
      14,760    6,021
      14,808    6,448
      14,864    7,315
      14,891    8,203
      14,905    9,070
      14,908   10,535
      14,890   12,448
      14,889   14,590
      14,896   15,101 (knuckle)
      14,896   17,601 (knuckle)
       8,153   17,601 (knuckle)
       8,153   20,101 (knuckle)
       8,057   20,101
       8,074   20,101
       4,773   20,101
       4,813   20,101
       4,764   20,101
       4,780   20,101 (knuckle)
       4,780   22,601 (knuckle)
       0,000   22,601 (knuckle)
       0,000   30,202 (knuckle)
       0,000   31,352 (knuckle)
       1,720   31,352 (knuckle)
       1,720   30,202 (knuckle)
       2,029   30,202 (knuckle)
       2,029   22,601

   Segment 5
      13,765   17,601
      13,765   17,801 (knuckle)
       8,987   17,801 (knuckle)
       8,987   17,601

   Segment 6
       2,103   22,601
       2,029   22,601 (knuckle)
       2,029   22,701 (knuckle)
       4,780   22,701 (knuckle)
       4,780   22,601 (knuckle)
       2,103   22,601

   Segment 7
       2,042   24,576
       2,042   25,201 (knuckle)
       3,574   25,201 (knuckle)
       3,574   22,701 (knuckle)
       2,042   22,701 (knuckle)
       2,042   24,576
-------------------------------

Station :90,000
Number of segments :3
   Segment 1
      12,914   18,001
      13,430   18,001 (knuckle)
      13,430   19,997 (knuckle)
      13,166   19,990
      12,798   19,987
      12,072   19,986
      11,394   19,986
      10,693   19,986
       9,939   19,988
       9,564   19,991
       9,310   19,997 (knuckle)
       9,310   18,001 (knuckle)
      12,914   18,001

   Segment 2
       9,531   17,601
       9,531   18,001 (knuckle)
      13,208   18,001 (knuckle)
      13,208   17,601

   Segment 3
       0,000    0,000
       7,093    0,000 (knuckle)
       8,383    0,238
       8,998    0,358
       9,577    0,480
      10,113    0,606
      10,612    0,739
      11,084    0,887
      11,539    1,056
      11,984    1,249
      12,412    1,461
      12,810    1,684
      13,167    1,910
      13,476    2,133
      13,738    2,352
      13,961    2,569
      14,152    2,785
      14,315    3,001
      14,456    3,218
      14,688    3,654
      14,876    4,093
      15,021    4,529
      15,119    4,960
      15,183    5,387
      15,222    5,814
      15,258    6,667
      15,273    7,984
      15,281    9,551
      15,281   10,531
      15,267   12,451
      15,272   13,624
      15,291   15,101 (knuckle)
      15,291   17,601 (knuckle)
       7,367   17,601 (knuckle)
       7,367   20,101 (knuckle)
       0,000   20,101
-------------------------------

Station :100,000
Number of segments :5
   Segment 1
       2,512   32,702
       0,000   32,702 (knuckle)
       0,000   32,602 (knuckle)
       3,632   32,602 (knuckle)
       3,632   32,702 (knuckle)
       2,512   32,702

   Segment 2
       2,692   30,192
       2,519   30,193
       2,532   30,194
       1,978   30,194
       1,567   30,194
       1,323   30,195
       0,882   30,195
       0,652   30,197
       0,227   30,197
       0,000   30,202 (knuckle)
       0,000   30,102 (knuckle)
       3,033   30,102 (knuckle)
       3,033   30,202 (knuckle)
       2,897   30,194
       2,692   30,192

   Segment 3
       2,194   27,702
       0,000   27,702 (knuckle)
       0,000   27,602 (knuckle)
       5,067   27,602 (knuckle)
       5,067   27,702 (knuckle)
       2,194   27,702

   Segment 4
       5,137   22,701
       5,137   22,601 (knuckle)
       5,800   22,601 (knuckle)
       5,800   22,701 (knuckle)
       5,137   22,701

   Segment 5
       0,000    0,000
       8,328    0,000 (knuckle)
       9,495    0,232
      10,043    0,349
      10,548    0,469
      11,002    0,591
      11,414    0,723
      11,802    0,872
      12,180    1,046
      12,559    1,247
      12,933    1,469
      13,286    1,702
      13,608    1,934
      13,887    2,157
      14,126    2,372
      14,329    2,583
      14,502    2,794
      14,648    3,006
